N,Model,Mean_FJC,MeanDiff_FJC,Std_FJC,StdRatio_FJC,KL_FJC,KS_FJC,Effective_Samples_FJC,Valid_Chi2_FJC,Mean_SAW,MeanDiff_SAW,Std_SAW,StdRatio_SAW,KL_SAW,KS_SAW,Effective_Samples_SAW,Valid_Chi2_SAW,Mean_WLC,MeanDiff_WLC,Std_WLC,StdRatio_WLC,KL_WLC,KS_WLC,Effective_Samples_WLC,Valid_Chi2_WLC
5,FJC,0.7499314906219828,-0.0003218668073621256,0.2230431846518489,1.0024330713387262,0.000138484408867656,0.010522481509393722,149941.0,True,,,,,,,,,,,,,,,,
5,SAW,,,,,,,,,0.7483044364044867,-0.001948921024858219,0.14473206385489032,0.6505821300033883,0.15464829598431507,0.107,3000.0,True,,,,,,,,
5,WLC,,,,,,,,,,,,,,,,,0.7501215378701986,-0.00013181955914631782,0.21128689362986647,0.9496025704520047,0.0530480281487663,0.03570000000000001,50000.0,True
10,FJC,0.7577296627272175,-0.005706806635211059,0.30538265562318617,1.0245177463968027,0.0010460241825132545,0.015530502347164521,148264.0,True,,,,,,,,,,,,,,,,
10,SAW,,,,,,,,,0.7497539725413862,-0.01368249682104239,0.2164995005977303,0.7264453478169434,0.09659415715057043,0.076,3000.0,True,,,,,,,,
10,WLC,,,,,,,,,,,,,,,,,0.7529907538029083,-0.010445715559520341,0.3303680613442598,1.1083477687340941,0.026083472201201188,0.053779999999999994,50000.0,True
15,FJC,0.7811388129232982,-0.012452219223701322,0.3546517871453127,1.0452461273645222,0.004250156440136916,0.03733629580224268,143934.0,True,,,,,,,,,,,,,,,,
15,SAW,,,,,,,,,0.748892756846365,-0.04469827530063453,0.2653345628792658,0.7821339286862561,0.06806543394865582,0.10766666666666666,3000.0,True,,,,,,,,
15,WLC,,,,,,,,,,,,,,,,,0.7871633819966661,-0.006427650150333419,0.39340394609247525,1.1594658470248216,0.0337232546404417,0.05876000000000001,50000.0,True
20,FJC,0.8066598460399571,-0.01693005374879375,0.38779192984946986,1.0607145140216367,0.007420833385123649,0.03838248448997256,138620.0,True,,,,,,,,,,,,,,,,
20,SAW,,,,,,,,,0.7591755243968819,-0.064414375391869,0.3057130620767447,0.8363432719618347,0.05025677955762764,0.09733333333333333,3000.0,True,,,,,,,,
20,WLC,,,,,,,,,,,,,,,,,0.80624605428621,-0.017343845502540867,0.4030978034849246,1.1025872158083403,0.0162822498617674,0.0476,50000.0,True
25,FJC,0.8336391568518354,-0.018350869890540578,0.4095696021323033,1.0708759686680858,0.010079690375512762,0.04861192244971918,132456.0,True,,,,,,,,,,,,,,,,
25,SAW,,,,,,,,,0.7632812066745777,-0.08870882006779834,0.34077788879957865,0.8911557622922904,0.04351595433555857,0.11833333333333333,3000.0,True,,,,,,,,
25,WLC,,,,,,,,,,,,,,,,,0.8365054307727984,-0.01548459596957763,0.42675468028897234,1.1158156616457937,0.020136622869707337,0.061179999999999984,50000.0,True
30,FJC,0.8580168215892996,-0.01801671748018696,0.4244259435178042,1.0781110333037605,0.011926431179458352,0.041563315400400924,126211.0,True,,,,,,,,,,,,,,,,
30,SAW,,,,,,,,,0.7871978823548317,-0.08883565671465488,0.3929800879374686,0.998410557122826,0.031085559969004434,0.09833316457985086,2757.16328425378,False,,,,,,,,
30,WLC,,,,,,,,,,,,,,,,,0.8628118415107906,-0.013221697558695955,0.4420036035489633,1.1227679328656908,0.02237793360538321,0.06768000000000002,50000.0,True
40,FJC,0.8989622098198105,-0.014822607951797129,0.44148252415063344,1.0865812866291524,0.014113039874531998,0.05191763132659433,113667.0,True,,,,,,,,,,,,,,,,
40,SAW,,,,,,,,,0.8943941381832039,-0.01939067958840368,0.43359923166887415,1.0672808859454042,0.016024836926628906,0.0434,5000.0,True,,,,,,,,
40,WLC,,,,,,,,,,,,,,,,,0.8837417318710017,-0.030043085900605893,0.44944140168695407,1.106175953082217,0.020794563094705835,0.06703999999999999,50000.0,True
50,FJC,0.9264693041072154,-0.011532264830422911,0.44983584266625265,1.0911718964917152,0.01477264956375485,0.0502319361745813,102279.0,True,,,,,,,,,,,,,,,,
50,SAW,,,,,,,,,0.9502204665593369,0.012218897621698588,0.45769228422070735,1.1103164584779324,0.02587771772872091,0.050666666666666665,6000.0,True,,,,,,,,
50,WLC,,,,,,,,,,,,,,,,,0.9101338925883757,-0.02786767634926257,0.45960480373887125,1.1148742746183082,0.02397734030154294,0.059099999999999986,50000.0,True
60,FJC,0.9476989555370938,-0.00842486116891672,0.4534276964138203,1.0928741381296763,0.014919807347356793,0.044980320006975605,91748.0,True,,,,,,,,,,,,,,,,
60,SAW,,,,,,,,,0.9559761890430112,-0.00014762766299936114,0.4609673436447124,1.1111331168007572,0.02624126326135416,0.05053333333333333,6000.0,True,,,,,,,,
60,WLC,,,,,,,,,,,,,,,,,0.9364778777307131,-0.019645938975297428,0.46327015671387733,1.1166020097107328,0.023482099762304594,0.06281999999999999,50000.0,True
