N,Model,Mean_FJC,MeanDiff_FJC,Std_FJC,StdRatio_FJC,KL_FJC,KS_FJC,Effective_Samples_FJC,Valid_Chi2_FJC,Mean_SAW,MeanDiff_SAW,Std_SAW,StdRatio_SAW,KL_SAW,KS_SAW,Effective_Samples_SAW,Valid_Chi2_SAW,Mean_WLC,MeanDiff_WLC,Std_WLC,StdRatio_WLC,KL_WLC,KS_WLC,Effective_Samples_WLC,Valid_Chi2_WLC
5,FJC,0.7499314906219828,-0.000666323582971029,0.2230431846518489,1.0016383846661743,0.0001871809269424051,0.012330584696647384,149941.0,True,,,,,,,,,,,,,,,,
5,SAW,,,,,,,,,0.7483044364044867,-0.0022933778004671224,0.14473206385489032,0.6500663759217479,0.1557011448145898,0.11266666666666666,3000.0,True,,,,,,,,
5,WLC,,,,,,,,,,,,,,,,,0.7501215378701986,-0.00047627633475522124,0.21128689362986647,0.94884976557302,0.052901537208922385,0.02971999999999997,50000.0,True
10,FJC,0.7577296627272175,-0.005693196047634741,0.30538265562318617,1.01237305318257,0.002084981044577373,0.017498300329142624,148264.0,True,,,,,,,,,,,,,,,,
10,SAW,,,,,,,,,0.7497539725413862,-0.013668886233466071,0.2164995005977303,0.7178340222277366,0.10372643925242644,0.09066666666666667,3000.0,True,,,,,,,,
10,WLC,,,,,,,,,,,,,,,,,0.7529907538029083,-0.010432104971944023,0.3303680613442598,1.095209349538043,0.025425716867978294,0.055520000000000014,50000.0,True
15,FJC,0.7811388129232982,-0.009081461785189648,0.3546517871453127,1.0184643322072942,0.0032310036796790367,0.013647132713604848,143934.0,True,,,,,,,,,,,,,,,,
15,SAW,,,,,,,,,0.748892756846365,-0.04132751786212285,0.2653345628792658,0.7620937198634702,0.07817397255195524,0.11733333333333333,3000.0,True,,,,,,,,
15,WLC,,,,,,,,,,,,,,,,,0.7871633819966661,-0.003056892711821746,0.39340394609247525,1.129757459694924,0.032176367614935114,0.04690000000000005,50000.0,True
20,FJC,0.8066598460399571,-0.01397874816371325,0.38779192984946986,1.0255282667937633,0.0054235794084733415,0.021214081662097817,138620.0,True,,,,,,,,,,,,,,,,
20,SAW,,,,,,,,,0.7591755243968819,-0.061463069806788506,0.3057130620767447,0.8085999152474592,0.0670268774046683,0.108,3000.0,True,,,,,,,,
20,WLC,,,,,,,,,,,,,,,,,0.80624605428621,-0.014392539917460367,0.4030978034849246,1.0660119584201553,0.013734980640936345,0.0431,50000.0,True
25,FJC,0.8336391568518354,-0.015530930105113971,0.4095696021323033,1.0300562857242404,0.006302551169785805,0.01850383523585189,132456.0,True,,,,,,,,,,,,,,,,
25,SAW,,,,,,,,,0.7632812066745777,-0.08588888028237174,0.34077788879957865,0.8571866596747425,0.05888557931790589,0.10333333333333333,3000.0,True,,,,,,,,
25,WLC,,,,,,,,,,,,,,,,,0.8365054307727984,-0.012664656184151024,0.42675468028897234,1.0732829661098127,0.015215093284491447,0.04515999999999998,50000.0,True
30,FJC,0.8580168215892996,-0.016057605540334863,0.4244259435178042,1.0343462982043645,0.006930994914645768,0.025801573555395363,126211.0,True,,,,,,,,,,,,,,,,
30,SAW,,,,,,,,,0.7871978823548317,-0.08687654477480278,0.3929800879374686,0.957881175451421,0.03228896347774773,0.07439353307390573,2757.16328425378,False,,,,,,,,
30,WLC,,,,,,,,,,,,,,,,,0.8628118415107906,-0.011262585618843857,0.4420036035489633,1.077190399901033,0.01660556951637547,0.04000000000000001,50000.0,True
40,FJC,0.8989622098198105,-0.013896674902493245,0.44148252415063344,1.0408516603601878,0.007306160718987468,0.01991352107471825,113667.0,True,,,,,,,,,,,,,,,,
40,SAW,,,,,,,,,0.8943941381832039,-0.018464746539099797,0.43359923166887415,1.0223635321874516,0.010095530006377128,0.026,5000.0,True,,,,,,,,
40,WLC,,,,,,,,,,,,,,,,,0.8837417318710017,-0.02911715285130201,0.44944140168695407,1.0596216698963792,0.016205682978178645,0.043320000000000025,50000.0,True
50,FJC,0.9264693041072154,-0.013358552517421463,0.44983584266625265,1.0455950931506188,0.008315854593172555,0.02316430938902414,102279.0,True,,,,,,,,,,,,,,,,
50,SAW,,,,,,,,,0.9502204665593369,0.010392609934700037,0.45769228422070735,1.0639400121662803,0.012468295108540079,0.0399,6000.0,True,,,,,,,,
50,WLC,,,,,,,,,,,,,,,,,0.9101338925883757,-0.029693964036261122,0.45960480373887125,1.0683074543696416,0.016731956772172218,0.044340000000000046,50000.0,True
60,FJC,0.9476989555370938,-0.010754712981152159,0.4534276964138203,1.047333652269661,0.008318356783892613,0.02555881763090201,91748.0,True,,,,,,,,,,,,,,,,
60,SAW,,,,,,,,,0.9559761890430112,-0.0024774794752348006,0.4609673436447124,1.064831772273694,0.011051473288327328,0.03436666666666666,6000.0,True,,,,,,,,
60,WLC,,,,,,,,,,,,,,,,,0.9364778777307131,-0.021975790787532867,0.46327015671387733,1.07007277431175,0.01593178572127789,0.03630000000000001,50000.0,True
