N,Model,Mean_FJC,MeanDiff_FJC,Std_FJC,StdRatio_FJC,KL_FJC,KS_FJC,Effective_Samples_FJC,Valid_Chi2_FJC,Trunc_Mu_FJC,Trunc_Sigma_FJC,Mean_SAW,MeanDiff_SAW,Std_SAW,StdRatio_SAW,KL_SAW,KS_SAW,Effective_Samples_SAW,Valid_Chi2_SAW,Trunc_Mu_SAW,Trunc_Sigma_SAW,Mean_WLC,MeanDiff_WLC,Std_WLC,StdRatio_WLC,KL_WLC,KS_WLC,Effective_Samples_WLC,Valid_Chi2_WLC,Trunc_Mu_WLC,Trunc_Sigma_WLC
5,FJC,0.7499314906219828,0.00016803052087699388,0.2230431846518489,0.9988344862974627,0.0001192888801933158,0.009986801475246929,149941.0,True,0.7494347394010427,0.22383906926255698,,,,,,,,,,,,,,,,,,,,
5,SAW,,,,,,,,,,,0.7483044364044867,0.0016510275768834015,0.14473206385489032,0.9153460910800858,0.022058804069143297,0.028333333333333332,3000.0,True,0.7466524976636282,0.1581456966049166,,,,,,,,,,
5,WLC,,,,,,,,,,,,,,,,,,,,,0.7501215378701986,-0.0004621373287528874,0.21128689362986647,0.875532095171795,0.0666444007836669,0.03956,50000.0,True,0.749768425509604,0.2425595348390964
10,FJC,0.7577296627272175,0.0012816029663671458,0.30538265562318617,0.997350733576817,0.00012988176509226085,0.011511886904440716,148264.0,True,0.7489288556240098,0.31535756704765916,,,,,,,,,,,,,,,,,,,,
10,SAW,,,,,,,,,,,0.7497539725413862,0.0020202996565084064,0.2164995005977303,0.9485725172371953,0.011190225660109682,0.021333333333333333,3000.0,True,0.7472888723997251,0.2289820857950357,,,,,,,,,,
10,WLC,,,,,,,,,,,,,,,,,,,,,0.7529907538029083,-0.014452782769713957,0.3303680613442598,0.9438554930098256,0.016075006507046324,0.025559999999999916,50000.0,True,0.7477975546239158,0.37209366612685624
15,FJC,0.7811388129232982,0.005987034473555086,0.3546517871453127,0.9986874112211804,0.0010301646765154813,0.025949940945155348,143934.0,True,0.7546746217268693,0.3783497478629553,,,,,,,,,,,,,,,,,,,,
15,SAW,,,,,,,,,,,0.748892756846365,-0.0007210606036427425,0.2653345628792658,0.9643044631041896,0.007558722827567884,0.02266666666666667,3000.0,True,0.7464653646237476,0.2793928018060539,,,,,,,,,,
15,WLC,,,,,,,,,,,,,,,,,,,,,0.7871633819966661,-0.009362940989075863,0.39340394609247525,0.9700969076079057,0.004870587557150769,0.016679999999999917,50000.0,True,0.7506310589245638,0.4582150515944621
20,FJC,0.8066598460399571,0.007484816281693174,0.38779192984946986,1.0000108763780566,0.0015043877640707384,0.015475400375126236,138620.0,True,0.7670381601396014,0.42546790744336793,,,,,,,,,,,,,,,,,,,,
20,SAW,,,,,,,,,,,0.7591755243968819,-0.007603931474212677,0.3057130620767447,0.9883098607568508,0.007724882743445876,0.017333333333333333,3000.0,True,0.7593721156162316,0.31849001243301817,,,,,,,,,,
20,WLC,,,,,,,,,,,,,,,,,,,,,0.80624605428621,-0.001563681797146832,0.4030978034849246,0.9873778018779895,0.001534249456807178,0.020020000000000038,50000.0,True,0.763995839813287,0.4606622600796324
25,FJC,0.8336391568518354,0.008537091444928091,0.4095696021323033,0.9984534962079732,0.002175153129810429,0.015561732197861944,132456.0,True,0.7860227153783326,0.46041911045893286,,,,,,,,,,,,,,,,,,,,
25,SAW,,,,,,,,,,,0.7632812066745777,-0.007850468199820049,0.34077788879957865,0.9892843981891781,0.006984433666114583,0.01633333333333333,3000.0,True,0.7542886989701841,0.3638053217681147,,,,,,,,,,
25,WLC,,,,,,,,,,,,,,,,,,,,,0.8365054307727984,0.0036096185898062405,0.42675468028897234,0.9930688236120517,0.0016230913363077665,0.01092,50000.0,True,0.7808784997795021,0.4989072265651288
